Enter 1 for Train, 0 to use pickeled file:  irrelevant 	:	irrelevant 		[u'Org', u'Family'] Samsung galaxy is lagging behind in the market
irrelevant 	:	irrelevant 		[u'Org', u'OS', u'Place'] Nokia symbian was once popular in India
irrelevant 	:	irrelevant 		[u'Place', u'Phone', u'Org', u'OS', u'Phone'] Finland based Nokia may launch Android phone soon
irrelevant 	:	irrelevant 		[u'App', u'Family', u'Model'] Assist in Moto g is cool
irrelevant 	:	irrelevant 		[u'Org', u'Family'] Microsoft gets away with Nokia brand in latest Lumia 
irrelevant 	:	price_query 		[u'Family', u'Model', u'Price'] Lumia 520 is best in its price range
irrelevant 	:	irrelevant 		[u'Version', u'Feature'] Lolypop doesnt have silent feature
irrelevant 	:	irrelevant 		[u'Family', u'OS', u'Version'] Nexus 6 coming with Android lolypop
price_query 	:	price_query 		[u'Family', u'Model', u'Place', u'Price'] The cost of iPhone 5s in India is Rs. 43499
feature_query 	:	irrelevant 		[u'Feature', u'Family', u'Model'] The screen size of Nexus 6 is approximately 6 inches and it is yet to be released in the US.
interest_intent 	:	irrelevant 		[u'App', u'Org', u'Phone'] Is AppLock available on Windows phones ?
price_query 	:	irrelevant 		[u'Org', u'Family', u'Phone'] What are some of the Samsung Galaxy phones under 20k ?
irrelevant 	:	irrelevant 		[u'Other', u'App'] Did you update Whatsapp ?
agreement 	:	irrelevant 		[u'Family', u'Model', u'Feature', u'Size'] Nexus 4 has a screen size of 4.7" 
feature_query 	:	irrelevant 		[u'App', u'Phone'] Do you have Viber installed on your phone ?
interest_intent 	:	price_query 		[u'Phone', u'Size', u'Feature', u'Version'] Can you suggest some good phones which have more than 5" screen size and run on Kitkat or higher?
agreement 	:	irrelevant 		[u'Feature', u'Family', u'Model', u'Size'] Display size of iPhone 6 is 4.7"
price_query 	:	price_query 		[u'Family', u'Price'] Can you suggest some good iPhones within 45k?
acknowledgement 	:	price_query 		[u'Other', u'Org', u'Model', u'Price'] The Price of Samsung Galaxy S5 in India is 35k
irrelevant 	:	irrelevant 		[u'OS', u'Date'] Android Lollipop was released on November 3rd,2014
feature_query 	:	irrelevant 		[u'App', u'App', u'Family', u'Phone'] Have you installed Facebook and messenger on your galaxy phone ?
price_query 	:	price_query 		[u'Family', u'Phone', u'Other'] How much did your Nexus phone cost ?
irrelevant 	:	price_query 		[u'Org', u'Model', u'Price'] Xiaomi Mi4 India launch only in December, price around 15k 
irrelevant 	:	irrelevant 		[u'App', u'Other'] SmashHit is a very addictive game
price_query 	:	price_query 		[u'Phone', u'Price'] What are some of the good smartphones available for less than 10k ?
irrelevant 	:	price_query 		[u'Family', u'Model', u'Place', u'Price'] Micromax Bolt A064 is one of the cheapest android phones available in India which costs only 2.7k  
price_query 	:	price_query 		[u'Org', u'Family', u'Model', u'Other'] How much does HTC Desire C cost ?
interest_intent 	:	irrelevant 		[u'Family', u'Model', u'Place'] When will iPhone 6s plus be released in India?
feature_query 	:	feature_query 		[u'Phone', u'Feature'] Does the phone have accelerometer and Gyrometer?
irrelevant 	:	irrelevant 		[u'Phone', u'Size', u'Feature'] Phones with 5 inch display or more are becoming common nowadays.
irrelevant 	:	price_query 		[u'Family', u'Model', u'Price'] The nexus 5 price has reduced to 15,000 rupees as of this month.
irrelevant 	:	irrelevant 		[u'Family', u'Model'] last week, my father purchased a Moto G2
irrelevant 	:	irrelevant 		[u'Org', u'Family', u'Place', u'Org'] apple iPhone is most commonly purchased in the US where you can get it AT&T connected
interest_intent 	:	irrelevant 		[u'Org', u'Family', u'Version', u'Place'] where can a Samsung Galaxy phone running Jellybean be bought in Bangalore?
price_query 	:	price_query 		[u'Phone', u'Price'] where can I buy a 4.2 inch phone for 30,000 or lesser?
irrelevant 	:	price_query 		[u'Family', u'Model', u'Date'] the galaxy grand has become less popular since August
acknowledgement 	:	irrelevant 		[u'Org', u'Family', u'Model'] the Google nexus 6 is to have a 6 inch display
irrelevant 	:	irrelevant 		[u'OS', u'App'] IOS users have to pay for the full version of fruit ninja
price_query 	:	price_query 		[u'Price', u'Family', u'Model'] what's the best selling price online for Moto G  2?
price_query 	:	price_query 		[u'OS', u'Version', u'Phone', u'Price', u'Place'] Windows 8.2 phones for under 15,000 in India?
irrelevant 	:	irrelevant 		[u'OS', u'Phone', u'Place'] android phones are gaining popularity in developing nations
feature_query 	:	price_query 		[u'OS', u'Phone', u'Feature'] android phones for less than 20,000 rupees which support NFC?
interest_intent 	:	irrelevant 		[u'Phone', u'Size', u'Feature'] which is the best phone with a 5 inch display?
irrelevant 	:	irrelevant 		[u'OS'] what's the fuss about IOS?
